item_id,item_name_en,item_name_ar,type,positions,surah_number,surah_name,surah_name_ar,aya_from,aya_to
1,musa,قصص أنبياء - موسي عليه السلام و فرعون,prophet,1,2,Al-Baqara,البقرة,49,74
,,,,2,2,Al-Baqara,البقرة,108,108
,,,,3,4,An-Nisaa,النساء,153,155
,,,,4,4,An-Nisaa,النساء,164,164
,,,,5,5,Al-Maaida,المائدة,20,26
,,,,6,6,Al-An'aam,الأنعام,154,154
,,,,7,7,Al-A'raaf,الأعراف,103,156
,,,,8,7,Al-A'raaf,الأعراف,159,171
,,,,9,10,Yunus,يونس,75,95
,,,,10,11,Hud,هود,96,99
,,,,11,11,Hud,هود,110,110
,,,,12,14,Ibrahim,إبراهيم,5,9
,,,,13,17,Al-Israa,الإسراء,101,104
,,,,14,18,Al-Kahf,الكهف,60,82
,,,,15,19,Maryam,مريم,51,53
,,,,16,20,Taa-Haa,طه,9,99
,,,,17,21,Al-Anbiyaa,الأنبياء,48,48
,,,,18,23,Al-Muminoon,المؤمنون,45,49
,,,,19,25,Al-Furqaan,الفرقان,35,36
,,,,20,26,Ash-Shu'araa,الشعراء,10,68
,,,,21,27,An-Naml,النمل,7,14
,,,,22,28,Al-Qasas,القصص,3,48
,,,,23,29,Al-Ankaboot,العنكبوت,39,40
,,,,24,37,As-Saaffaat,الصافات,114,122
,,,,25,40,Ghafir,غافر,23,45
,,,,26,40,Ghafir,غافر,53,54
,,,,27,41,Fussilat,فصلت,45,45
,,,,28,43,Az-Zukhruf,الزخرف,46,56
,,,,29,44,Ad-Dukhaan,الدخان,17,33
,,,,30,51,Adh-Dhaariyat,الذاريات,38,40
,,,,31,54,Al-Qamar,القمر,41,45
,,,,32,61,As-Saff,الصف,5,5
,,,,33,66,At-Tahrim,التحريم,11,11
,,,,34,79,An-Naazi'aat,النازعات,15,26
2,ibrahim,قصص أنبياء - ابراهيم عليه السلام,prophet,1,2,Al-Baqara,البقرة,124,141
,,,,2,2,Al-Baqara,البقرة,258,260
,,,,3,3,Aal-i-Imraan,آل عمران,65,71
,,,,4,6,Al-An'aam,الأنعام,74,84
,,,,5,11,Hud,هود,69,77
,,,,6,14,Ibrahim,إبراهيم,35,41
,,,,7,15,Al-Hijr,الحجر,51,60
,,,,8,16,An-Nahl,النحل,120,123
,,,,9,19,Maryam,مريم,41,50
,,,,10,21,Al-Anbiyaa,الأنبياء,51,73
,,,,11,22,Al-Hajj,الحج,26,29
,,,,12,22,Al-Hajj,الحج,77,78
,,,,13,26,Ash-Shu'araa,الشعراء,69,90
,,,,14,29,Al-Ankaboot,العنكبوت,16,35
,,,,15,37,As-Saaffaat,الصافات,83,113
,,,,16,43,Az-Zukhruf,الزخرف,26,28
,,,,17,51,Adh-Dhaariyat,الذاريات,24,37
,,,,18,53,An-Najm,النجم,37,37
3,nuh,قصص أنبياء - نوح عليه السلام,prophet,1,7,Al-A'raaf,الأعراف,59,64
,,,,2,10,Yunus,يونس,71,74
,,,,3,11,Hud,هود,25,49
,,,,4,21,Al-Anbiyaa,الأنبياء,76,77
,,,,5,23,Al-Muminoon,المؤمنون,23,31
,,,,6,25,Al-Furqaan,الفرقان,37,37
,,,,7,26,Ash-Shu'araa,الشعراء,105,122
,,,,8,29,Al-Ankaboot,العنكبوت,14,15
,,,,9,37,As-Saaffaat,الصافات,75,82
,,,,10,51,Adh-Dhaariyat,الذاريات,46,46
,,,,11,54,Al-Qamar,القمر,9,16
,,,,12,66,At-Tahrim,التحريم,10,10
,,,,13,71,Nooh,نوح,1,28
4,Yusuf,قصص أنبياء - يوسف عليه السلام,prophet,1,12,Yusuf,يوسف,4,102
,,,,2,40,Ghafir,غافر,34,34
5,Lot,قصص أنبياء - لوط عليه السلام وقومه,prophet,1,7,Al-A'raaf,الأعراف,80,84
,,,,2,11,Hud,هود,69,83
,,,,3,15,Al-Hijr,الحجر,58,78
,,,,4,21,Al-Anbiyaa,الأنبياء,71,75
,,,,5,26,Ash-Shu'araa,الشعراء,160,175
,,,,6,27,An-Naml,النمل,54,59
,,,,7,29,Al-Ankaboot,العنكبوت,28,35
,,,,8,37,As-Saaffaat,الصافات,133,138
,,,,9,54,Al-Qamar,القمر,33,39
